Target,Subtarget,IMAGE,REALBOOT
ramips,rt305x,3520cdc5ecd9425f2b53b5d109b6c734895f3e8c.bin.log,43.3270001411438
ramips,rt305x,a30b609f3263723301f285afde400d0532d1be67.bin.log,50.24799990653992
ramips,rt305x,ae40359e6ff274cea74f058d14085ceb5ec462a3.bin.log,48.507999897003174
ramips,rt305x,a8b603175798b8e6388180e63444510707b18835.bin.log,54.24500012397766
ramips,rt305x,d7fc243655556910c6c7ae77338dcf67757b3431.bin.log,57.03499984741211
ramips,rt305x,47c75859a70a5ad13778cd74dc082760e8a4b0ee.bin.log,47.59699988365173
ramips,rt305x,708d0d7be24985f06a223ec8865d3d0469cca9cf.bin.log,55.06099987030029
ramips,rt305x,c754366e2a4305d15eb0fec04f1fba19a7eb8512.bin.log,41.605000019073486
ramips,rt305x,feaed9805113c4b92ab3644851f422c3d1267a18.bin.log,51.1470000743866
ramips,rt305x,2f1b8ad17a2dfb582d488fc810fa5e383c0533af.bin.log,57.144999980926514
ramips,rt305x,5c37d7e28f6bbc66b0ff267bd5e0d6a85494649a.bin.log,48.10499978065491
ramips,rt305x,e7962caeaa6e6ff919c02ce0dae7f786efd0dd9f.bin.log,53.72699999809265
ramips,rt305x,870bca9419d0ec49ba7fa785e53c5b2ea15e9e9e.bin.log,52.581000089645386
ramips,rt305x,84691afcad018fec516d8d306282ecf5ad66f00f.bin.log,47.937999963760376
ramips,rt305x,99921848b04c48bb1939adfaffc812b9237ba575.bin.log,59.532999992370605
ramips,rt305x,c0c8785ae9bb452515f69122e06e230591358b17.bin.log,49.938000202178955
ramips,rt305x,3092775946193e17143e153ee038fd2b2ce4e2d8.bin.log,43.81599998474121
ramips,rt305x,e17176d4eb95be6a5de5f8797fdac12e4220f1f2.bin.log,54.53399991989136
ramips,rt305x,5e4f98fd3956a95d8cd205e91f9783325c4c0e73.bin.log,33.924999952316284
ramips,rt305x,96e08b805521b15452e9d3e6b7ad3851ebbba52c.bin.log,48.79199981689453
ramips,rt305x,5621dacc292e1fb46bbb7308b054edf2283e59be.bin.log,49.95700001716614
ramips,rt305x,349fbbfc60d67daaf7c04e52ee2af2a0aee05faa.bin.log,47.83200001716614
ramips,rt305x,dec89819195c0b78fd0d265c27fd1f1940443b1b.bin.log,55.61500000953674
ramips,rt305x,5497a4601a6c361c16cef2dbb120d4325f5e8604.bin.log,55.64199995994568
ramips,rt305x,0efd12eac87b8850e4913591a8f2222dbd24743d.bin.log,52.824000120162964
ramips,rt305x,5cdc457a93d4aeee5105f1a481934a9ce5960695.bin.log,58.84100008010864
ramips,rt305x,5b2a28925147bbaade070a125960bdd707b85bc6.bin.log,53.42799997329712
ramips,rt305x,a9810e11e4e116eb8be5ce11743e2d9c0692f7d1.bin.log,53.235000133514404
ramips,rt305x,a7a6aafd781bd758b2d2d10bad552b8a1185c03a.bin.log,48.65500020980835
ramips,rt305x,d55b75dcb1177d8755da0884c38f5fdf99194249.bin.log,52.444000005722046
ramips,rt305x,35b1e50776bb2895069cf84b1928b1099fd46698.bin.log,49.36199998855591
ramips,rt305x,e4f98f53c245aa3dd04aab4ede89b0237445e0c2.bin.log,53.757999897003174
ramips,rt305x,d8436a3d5f63273307411bec9bef7178a53622b6.bin.log,55.39300012588501
ramips,rt305x,eaf0c44b3b22480a3c36a48a93da42c32b41c23c.bin.log,54.610000133514404
ramips,rt305x,460f0b3105730d4f3291dcaeecc3716f53929a8e.bin.log,59.51799988746643
ramips,rt305x,b6ada7b10bd0b4e02e66aed72b19b41d2083f296.bin.log,56.61399984359741
ramips,rt305x,2b5f2fc5a67c86900c58ccfd78b2a990a5b6b82c.bin.log,49.21500015258789
ramips,rt305x,771852e2a6d0f8575e07edce814d21bd66757502.bin.log,48.383999824523926
ramips,rt305x,cd1e82b15bad8438477596847f449a594f2493f2.bin.log,53.19799995422363
ramips,rt305x,70b5e49b6fe6be9725c65ce2536881a91726556a.bin.log,54.407999992370605
ramips,rt305x,df2d17be6b60ea42bc8e4fdb1580688b02ec2c72.bin.log,56.85599994659424
ramips,rt305x,c40fb297838a2088a8eeb4c64e521ea23052a5f0.bin.log,58.48400020599365
ramips,rt305x,85acf05e043dfc4be56bfdca0c62fdf438e6c2a3.bin.log,57.29299998283386
ramips,rt305x,a762fac1c4e6c358414e42fcf585cdb7dfec5232.bin.log,56.07000017166138
ramips,rt305x,27448436c2de926e0df95c957d9df66ad882a73e.bin.log,56.460999965667725
ramips,rt305x,45d8428b7b46e77e6d8c2b513dac0245a495a870.bin.log,55.42900013923645
ramips,rt305x,81e52e7187f4d25432c034b7c2de617b11f78fa2.bin.log,51.48799991607666
ramips,rt305x,615b762444eb208880209fe0d615300c15580693.bin.log,52.0239999294281
ramips,rt305x,b4a029570161441ef4ca7298994b500a58761f94.bin.log,53.65299987792969
ramips,rt305x,bd538bb6121a162634f8fb34ca3d3412c778e194.bin.log,51.92400002479553
ramips,rt305x,9c61620c0ece89c3c7cbf78503a444fb2079fd69.bin.log,49.539000034332275
ramips,rt305x,cded135d8d7e2056f9e2b522a468d05b2c30e8c2.bin.log,50.468000173568726
ramips,rt305x,51d36a71aedfafbdead62cec8a6d7061a6afadd0.bin.log,51.520999908447266
